DeviceID,Brand,OS,DeviceAgeYears,CPU_Temperature_C,GPU_Temperature_C,CPU_Load_Pct,Memory_Used_Pct,Disk_Read_MBps,Disk_Write_MBps,Battery_Health_Pct,System_Voltage_V,Fan_Speed_RPM,System_Uptime_Hrs,Disk_Health_Pct,Network_Usage_MBps,ProblemDetected
DEV00001,Apple,Windows 11,4.837088935970325,82.40193382974562,76.4195454483315,80.49604738130154,70.69861074544781,120.01448705898602,125.36248914849585,59.50591384840774,11.98883343626365,4350.291797586796,25.945672179462886,78.19730359899258,8.561136342325883,Overheating
DEV00002,Dell,macOS,1.6930450604533707,59.050347991931936,65.3121595313778,58.68445330376802,47.632702880411976,90.47070143116845,30.89105743907684,28.286557834461984,9.146210269449195,2927.524984749576,6.130225254811463,79.1076191744869,21.786784729412695,Power_Issue
DEV00003,Acer,Ubuntu,0.8785476271225878,57.989863751659314,48.88179832511352,36.339976449504405,71.82487088066264,109.24824873564995,79.10878344977175,34.79856487731409,7.058953418529284,2729.4230156196713,10.060544643627914,97.54754356496056,11.362455612035987,Power_Issue
DEV00004,Asus,Windows 10,1.7128104329048657,42.66067279605356,61.86535107224419,18.775591505839596,48.95577337311248,127.17227422040698,109.31011342745451,93.0842290429186,11.817617963391,2596.749356993594,0.49883341787424884,97.39381368874476,47.55987784201986,Normal
DEV00005,Asus,Windows 10,1.3687629441884785,49.98768930081297,58.15361857920625,38.68997627790218,32.50260828235725,177.92827783027295,80.86704439327757,87.50471597807349,12.365919819528989,3055.4702094187014,13.392744920247434,79.93507643740956,10.293302038664294,Normal
DEV00006,Acer,Ubuntu,1.6166249403301118,50.386624650538884,51.67594577957502,38.210101291972315,33.785296337105194,70.04748364764002,29.98644734374427,92.20101938654446,11.524119108903449,2883.4645851877067,0.5078049961338187,77.28611576523086,2.1595148910884414,Normal
DEV00007,Acer,Windows 11,3.1655421084960285,54.12219043274573,44.418057273645445,46.89073713382554,45.90726068123458,150.96040198381817,125.44773066884164,101.85945118435656,11.73957638271548,2944.5032879594164,8.701584523185838,81.25405529126294,27.33512632002009,Normal
DEV00008,Dell,Ubuntu,0.48937945252323317,53.611545424395466,57.532370900607944,28.76627535268923,51.324995255151784,136.81927950669962,120.995324957467,60.50363319602208,8.519087923985323,2305.8142206410994,1.7211831334762997,94.20005308705414,22.811153822474584,Power_Issue
DEV00009,MSI,Ubuntu,0.7003302513675124,63.000113051870784,48.44964476978934,56.89738113381394,35.528186706697106,160.11548756692747,72.63391533483484,42.74219062203116,8.778143215997025,2040.5955701679068,9.07122249368074,78.58655608524724,28.95132689767529,Power_Issue
DEV00010,Asus,Windows 11,6.672827397432089,88.35923656090674,86.94781388088032,79.78166720589962,57.03974164332554,205.85389199077758,61.876423652410715,57.398152651472195,12.868312023867036,4291.810800243357,25.199064806552602,71.86320554540497,0.0,Overheating
